customer_id,first_name,last_name,email,city,zip_code,signup_date,signup_source,has_used_free_trial
C0001,Michael,Jackson,customer1@example.com,Plano,75024,2026-02-09,TikTok,1
C0002,Rachel,Rodriguez,customer2@example.com,Richardson,75080,2025-11-21,Instagram,1
C0003,Madison,Garcia,customer3@example.com,Plano,75024,2026-04-24,Pop-up Event,1
C0004,Carlos,Williams,customer4@example.com,Coppell,75019,2025-09-25,Instagram,0
C0005,James,Anderson,customer5@example.com,Dallas,75201,2025-06-17,Instagram,1
C0006,Hannah,Johnson,customer6@example.com,Richardson,75080,2026-03-29,Friend Referral,1
C0007,Lauren,Khan,customer7@example.com,Allen,75013,2026-01-23,Instagram,1
C0008,Maria,Jackson,customer8@example.com,Richardson,75080,2026-04-07,Instagram,1
C0009,Megan,Nguyen,customer9@example.com,Dallas,75201,2026-01-15,Vet Referral,1
C0010,Jason,Martinez,customer10@example.com,Irving,75063,2025-12-26,Google Search,1
C0011,Andrew,Miller,customer11@example.com,Frisco,75034,2025-11-17,Instagram,1
C0012,Priya,Miller,customer12@example.com,Dallas,75214,2024-11-15,TikTok,1
C0013,Brittany,Moore,customer13@example.com,Addison,75001,2026-02-28,Instagram,1
C0014,Diego,Davis,customer14@example.com,Dallas,75205,2026-01-20,Instagram,1
C0015,James,Martin,customer15@example.com,Fort Worth,76102,2026-04-28,Pop-up Event,1
C0016,Eric,Wilson,customer16@example.com,Carrollton,75007,2025-10-21,Friend Referral,1
C0017,Emma,Thomas,customer17@example.com,Dallas,75214,2025-12-13,Instagram,0
C0018,James,Thomas,customer18@example.com,Irving,75038,2025-08-09,TikTok,1
C0019,Priya,Jackson,customer19@example.com,Plano,75024,2025-11-22,TikTok,1
C0020,Eric,Hernandez,customer20@example.com,Arlington,76012,2026-03-26,Instagram,1
C0021,Brittany,Anderson,customer21@example.com,Addison,75001,2026-02-05,Instagram,1
C0022,Jessica,Hernandez,customer22@example.com,Richardson,75082,2026-02-14,Instagram,1
C0023,Tyler,Hernandez,customer23@example.com,Allen,75013,2026-04-07,Vet Referral,1
C0024,Priya,Jackson,customer24@example.com,Arlington,76012,2024-11-10,Vet Referral,1
C0025,Rachel,Perez,customer25@example.com,Allen,75013,2026-05-04,Vet Referral,1
C0026,Rachel,Williams,customer26@example.com,Dallas,75205,2025-09-11,Vet Referral,1
C0027,Rohit,Jackson,customer27@example.com,Irving,75063,2026-02-14,Instagram,1
C0028,Brandon,Perez,customer28@example.com,Dallas,75214,2025-11-10,Friend Referral,1
C0029,Wei,Shah,customer29@example.com,Frisco,75034,2026-02-26,Friend Referral,1
C0030,Chris,Moore,customer30@example.com,Arlington,76012,2025-11-03,Pop-up Event,1
C0031,Tyler,Moore,customer31@example.com,Plano,75093,2026-04-12,Vet Referral,1
C0032,Carlos,Shah,customer32@example.com,Coppell,75019,2025-12-07,Vet Referral,1
